,x,y,psi,curvature
15000,-149.0280309423402,14.856416702853272,0.19535386858688913,-0.004473742529398127
15001,-148.93002567309728,14.875786799937602,0.1949017502193777,-0.004568619524780095
15002,-148.83200850871225,14.895112722671358,0.19444014575992047,-0.0046634641801487926
15003,-148.73397911573207,14.914393580163173,0.19396992786181094,-0.004716067578541478
15004,-148.63593733513778,14.933628888075056,0.19349870398677066,-0.004708411155158128
15005,-148.53788322750717,14.952818673887856,0.19302824538435695,-0.004700762124469708
15006,-148.43981686741085,14.97196299769559,0.19255855131576188,-0.004693120477217929
15007,-148.34173832942017,14.991061919592141,0.192089621043109,-0.004685486204089094
15008,-148.24364768810545,15.010115499671572,0.19162145382945195,-0.004677859295714289
15009,-148.14554501803806,15.029123798027763,0.1911540489387882,-0.004670239742669837
15010,-148.04743039378855,15.048086874754734,0.19068740563605707,-0.004662627535477494
15011,-147.94930388992756,15.067004789946495,0.19022152318714844,-0.004655022664604806
15012,-147.85116558102638,15.085877603696936,0.18975640085891138,-0.004647425120465474
15013,-147.75301554165543,15.104705376100112,0.18929203791915195,-0.004639834893419539
15014,-147.65485384638595,15.123488167249908,0.1888284336366472,-0.004632251973773826
15015,-147.5566805697886,15.142226037240343,0.1883655872811429,-0.004624676351782129
15016,-147.45849578643399,15.160919046165427,0.18790349812336202,-0.004617108017645566
15017,-147.3602995708934,15.17956725411905,0.18744216543501332,-0.004609546961512928
15018,-147.26209199773723,15.198170721195265,0.18698158848878912,-0.004601993173480856
15019,-147.16387314153673,15.216729507487964,0.1865217665583787,-0.00459444664359428
15020,-147.06564307686256,15.235243673091158,0.1860626989184664,-0.004586907361846593
15021,-146.9674018782854,15.25371327809886,0.1856043848447398,-0.004579375318179994
15022,-146.8691496203764,15.272138382604961,0.18514682361389775,-0.004571850502485832
15023,-146.77088637770606,15.290519046703512,0.18469001450364858,-0.0045643329046047764
15024,-146.67261222484564,15.308855330488406,0.18423395679272306,-0.004556822514327245
