time,target_speed,acceleration,jerk,distance
0.65,2.6092184368737477,-0.6012024048096123,0.0,1.851042084168337
0.66,2.603206412825651,-0.6012024048096123,0.0,1.8770741482965934
0.67,2.597194388777555,-0.6012024048096123,0.0,1.903046092184369
0.68,2.591182364729459,-0.6012024048096123,0.0,1.9289579158316636
0.6900000000000001,2.585170340681363,-0.6012024048096123,0.0,1.9548096192384774
0.7000000000000001,2.579158316633267,-0.6012024048096123,0.0,1.9806012024048099
0.71,2.5731462925851702,-0.6012024048096123,0.0,2.0063326653306617
0.72,2.567134268537074,-0.6012024048096123,-7.105427357601002e-13,2.0320040080160324
0.73,2.561122244488978,-0.6012024048096265,0.0,2.057615230460922
0.74,2.5551102204408815,-0.6012024048096123,1.4210854715202004e-12,2.083166332665331
